 14:52:09 up 37 min,  1 user,  load average: 0.00, 0.02, 0.00
 14:52:19 up 37 min,  1 user,  load average: 0.00, 0.02, 0.00
 14:52:29 up 37 min,  1 user,  load average: 0.00, 0.02, 0.00
 14:52:39 up 38 min,  1 user,  load average: 0.00, 0.02, 0.00
 14:52:49 up 38 min,  1 user,  load average: 0.00, 0.02, 0.00
 14:52:59 up 38 min,  1 user,  load average: 0.00, 0.02, 0.00
 14:53:09 up 38 min,  1 user,  load average: 0.00, 0.02, 0.00
 14:53:19 up 38 min,  1 user,  load average: 0.00, 0.01, 0.00
 14:53:29 up 38 min,  1 user,  load average: 0.00, 0.01, 0.00
 14:53:39 up 39 min,  1 user,  load average: 0.00, 0.01, 0.00
 14:53:49 up 39 min,  1 user,  load average: 0.00, 0.01, 0.00
 14:53:59 up 39 min,  1 user,  load average: 0.00, 0.01, 0.00
 14:54:09 up 39 min,  1 user,  load average: 0.00, 0.01, 0.00
 14:54:19 up 39 min,  1 user,  load average: 0.00, 0.01, 0.00
 14:54:29 up 39 min,  1 user,  load average: 0.00, 0.01, 0.00
